problem_id,route,status,evaluable,success,functional,d_n,fps_size_at_stop,sym_adj,sym_final,completed_roundtrips,translation_steps
IPOP_10988,cpp-via-haskell,success,True,True,True,5,5,1.0,0.0,3,6
IPOP_10988,cpp-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_10988,haskell-via-cpp,success,True,True,True,6,6,1.0,0.0,3,6
IPOP_10988,haskell-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_10988,prolog-via-cpp,runtime_error,True,False,False,,3,,,0,2
IPOP_10988,prolog-via-haskell,runtime_error,True,False,False,,3,,,0,2
IPOP_1929,cpp-via-haskell,timeout,True,False,False,,2,,,0,1
IPOP_1929,cpp-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_1929,haskell-via-cpp,success,True,True,True,4,4,1.0,0.0,2,4
IPOP_1929,haskell-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_1929,prolog-via-cpp,runtime_error,True,False,False,,3,,,0,2
IPOP_1929,prolog-via-haskell,runtime_error,True,False,False,,3,,,0,2
IPOP_2579,cpp-via-haskell,compile_error,True,False,False,,2,,,0,1
IPOP_2579,cpp-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_2579,haskell-via-cpp,wrong_answer,True,False,False,,2,,,0,1
IPOP_2579,haskell-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_2579,prolog-via-cpp,wrong_answer,True,False,False,,2,,,0,1
IPOP_2579,prolog-via-haskell,compile_error,True,False,False,,2,,,0,1
IPOP_2609,cpp-via-haskell,success,True,True,True,4,4,1.0,0.2777777777777778,2,4
IPOP_2609,cpp-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_2609,haskell-via-cpp,success,True,True,True,6,6,1.0,0.0,3,6
IPOP_2609,haskell-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_2609,prolog-via-cpp,runtime_error,True,False,False,,3,,,0,2
IPOP_2609,prolog-via-haskell,runtime_error,True,False,False,,3,,,0,2
IPOP_5567,cpp-via-haskell,compile_error,True,False,False,,2,,,0,1
IPOP_5567,cpp-via-prolog,runtime_error,True,False,False,,2,,,0,1
IPOP_5567,haskell-via-cpp,wrong_answer,True,False,False,,2,,,0,1
